               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.029501,           0.0071994,                   0,             0.94396,             0.89024,             0.94251,             0.60939,            0.024786,           0.0049037,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.028056,           0.0066034,                   0,             0.93844,             0.90296,             0.94465,             0.61523,            0.022241,           0.0048625,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.028675,           0.0067487,                   0,             0.94625,             0.90418,             0.94508,              0.6021,            0.025103,           0.0047224,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.02855,           0.0067363,                   0,              0.9275,             0.91378,              0.9414,             0.62837,            0.022609,           0.0047704,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.028765,           0.0068409,                   0,             0.93674,             0.91463,             0.94713,             0.62637,            0.024332,           0.0047153,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.02698,           0.0067397,                   0,             0.94374,             0.90588,             0.95084,             0.63266,            0.022186,           0.0046162,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026074,           0.0063907,                   0,             0.94608,             0.92509,             0.96074,             0.63674,            0.022079,           0.0045836,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.025842,           0.0064143,                   0,             0.94613,             0.91786,             0.95596,              0.6545,            0.021599,           0.0045595,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.026972,           0.0065197,                   0,             0.94644,             0.91115,             0.95708,             0.65735,            0.021811,           0.0044841,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.025736,           0.0064779,                   0,             0.94718,              0.9216,             0.95681,             0.65981,            0.022192,           0.0044852,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.025688,           0.0061065,                   0,             0.94284,              0.9195,             0.95566,             0.66228,             0.02216,           0.0044888,                   0,            0.005347,            0.005347,            0.005347
